"X","index","sid","dyad","user_id","other_id","participant_condition","other_condition","question_content","measure","alignment"
96,96,"mk:prolific_participant_real_2:2","p1p6","mk:prolific_participant_real_2:2p6","mk:prolific_participant_real_2:2p1","U","S","liked",1,0
97,97,"mk:prolific_participant_real_2:2","p1p6","mk:prolific_participant_real_2:2p6","mk:prolific_participant_real_2:2p1","U","S","other_liked",1,0
98,98,"mk:prolific_participant_real_2:2","p1p6","mk:prolific_participant_real_2:2p6","mk:prolific_participant_real_2:2p1","U","S","conversation_quality",1,0
99,99,"mk:prolific_participant_real_2:2","p1p6","mk:prolific_participant_real_2:2p6","mk:prolific_participant_real_2:2p1","U","S","video_conf_quality",5,0
100,100,"mk:prolific_participant_real_2:2","p1p7","mk:prolific_participant_real_2:2p1","mk:prolific_participant_real_2:2p7","S","S","liked",7,1
101,101,"mk:prolific_participant_real_2:2","p1p7","mk:prolific_participant_real_2:2p1","mk:prolific_participant_real_2:2p7","S","S","other_liked",6,1
102,102,"mk:prolific_participant_real_2:2","p1p7","mk:prolific_participant_real_2:2p1","mk:prolific_participant_real_2:2p7","S","S","conversation_quality",7,1
103,103,"mk:prolific_participant_real_2:2","p1p7","mk:prolific_participant_real_2:2p1","mk:prolific_participant_real_2:2p7","S","S","video_conf_quality",7,1
104,104,"mk:prolific_participant_real_2:2","p1p7","mk:prolific_participant_real_2:2p7","mk:prolific_participant_real_2:2p1","S","S","liked",6,1
105,105,"mk:prolific_participant_real_2:2","p1p7","mk:prolific_participant_real_2:2p7","mk:prolific_participant_real_2:2p1","S","S","other_liked",6,1
106,106,"mk:prolific_participant_real_2:2","p1p7","mk:prolific_participant_real_2:2p7","mk:prolific_participant_real_2:2p1","S","S","conversation_quality",6,1
107,107,"mk:prolific_participant_real_2:2","p1p7","mk:prolific_participant_real_2:2p7","mk:prolific_participant_real_2:2p1","S","S","video_conf_quality",6,1
108,108,"mk:prolific_participant_real_2:2","p1p8","mk:prolific_participant_real_2:2p1","mk:prolific_participant_real_2:2p8","U","S","liked",4,0
109,109,"mk:prolific_participant_real_2:2","p1p8","mk:prolific_participant_real_2:2p1","mk:prolific_participant_real_2:2p8","U","S","other_liked",4,0
110,110,"mk:prolific_participant_real_2:2","p1p8","mk:prolific_participant_real_2:2p1","mk:prolific_participant_real_2:2p8","U","S","conversation_quality",4,0
111,111,"mk:prolific_participant_real_2:2","p1p8","mk:prolific_participant_real_2:2p1","mk:prolific_participant_real_2:2p8","U","S","video_conf_quality",4,0
112,112,"mk:prolific_participant_real_2:2","p2p5","mk:prolific_participant_real_2:2p2","mk:prolific_participant_real_2:2p5","S","S","liked",6,1
113,113,"mk:prolific_participant_real_2:2","p2p5","mk:prolific_participant_real_2:2p2","mk:prolific_participant_real_2:2p5","S","S","other_liked",6,1
114,114,"mk:prolific_participant_real_2:2","p2p5","mk:prolific_participant_real_2:2p2","mk:prolific_participant_real_2:2p5","S","S","conversation_quality",6,1
115,115,"mk:prolific_participant_real_2:2","p2p5","mk:prolific_participant_real_2:2p2","mk:prolific_participant_real_2:2p5","S","S","video_conf_quality",6,1
116,116,"mk:prolific_participant_real_2:2","p2p5","mk:prolific_participant_real_2:2p5","mk:prolific_participant_real_2:2p2","S","S","liked",6,1
117,117,"mk:prolific_participant_real_2:2","p2p5","mk:prolific_participant_real_2:2p5","mk:prolific_participant_real_2:2p2","S","S","other_liked",6,1
118,118,"mk:prolific_participant_real_2:2","p2p5","mk:prolific_participant_real_2:2p5","mk:prolific_participant_real_2:2p2","S","S","conversation_quality",6,1
119,119,"mk:prolific_participant_real_2:2","p2p5","mk:prolific_participant_real_2:2p5","mk:prolific_participant_real_2:2p2","S","S","video_conf_quality",6,1
120,120,"mk:prolific_participant_real_2:2","p2p6","mk:prolific_participant_real_2:2p2","mk:prolific_participant_real_2:2p6","U","S","liked",5,0
121,121,"mk:prolific_participant_real_2:2","p2p6","mk:prolific_participant_real_2:2p2","mk:prolific_participant_real_2:2p6","U","S","other_liked",5,0
122,122,"mk:prolific_participant_real_2:2","p2p6","mk:prolific_participant_real_2:2p2","mk:prolific_participant_real_2:2p6","U","S","conversation_quality",6,0
123,123,"mk:prolific_participant_real_2:2","p2p6","mk:prolific_participant_real_2:2p2","mk:prolific_participant_real_2:2p6","U","S","video_conf_quality",5,0
124,124,"mk:prolific_participant_real_2:2","p2p6","mk:prolific_participant_real_2:2p6","mk:prolific_participant_real_2:2p2","S","U","liked",5,0
125,125,"mk:prolific_participant_real_2:2","p2p6","mk:prolific_participant_real_2:2p6","mk:prolific_participant_real_2:2p2","S","U","other_liked",4,0
126,126,"mk:prolific_participant_real_2:2","p2p6","mk:prolific_participant_real_2:2p6","mk:prolific_participant_real_2:2p2","S","U","conversation_quality",5,0
127,127,"mk:prolific_participant_real_2:2","p2p6","mk:prolific_participant_real_2:2p6","mk:prolific_participant_real_2:2p2","S","U","video_conf_quality",5,0
128,128,"mk:prolific_participant_real_2:2","p2p7","mk:prolific_participant_real_2:2p2","mk:prolific_participant_real_2:2p7","U","U","liked",6,1
129,129,"mk:prolific_participant_real_2:2","p2p7","mk:prolific_participant_real_2:2p2","mk:prolific_participant_real_2:2p7","U","U","other_liked",5,1
130,130,"mk:prolific_participant_real_2:2","p2p7","mk:prolific_participant_real_2:2p2","mk:prolific_participant_real_2:2p7","U","U","conversation_quality",6,1
131,131,"mk:prolific_participant_real_2:2","p2p7","mk:prolific_participant_real_2:2p2","mk:prolific_participant_real_2:2p7","U","U","video_conf_quality",6,1
132,132,"mk:prolific_participant_real_2:2","p2p7","mk:prolific_participant_real_2:2p7","mk:prolific_participant_real_2:2p2","U","U","liked",6,1
133,133,"mk:prolific_participant_real_2:2","p2p7","mk:prolific_participant_real_2:2p7","mk:prolific_participant_real_2:2p2","U","U","other_liked",6,1
134,134,"mk:prolific_participant_real_2:2","p2p7","mk:prolific_participant_real_2:2p7","mk:prolific_participant_real_2:2p2","U","U","conversation_quality",6,1
135,135,"mk:prolific_participant_real_2:2","p2p7","mk:prolific_participant_real_2:2p7","mk:prolific_participant_real_2:2p2","U","U","video_conf_quality",6,1
136,136,"mk:prolific_participant_real_2:2","p2p8","mk:prolific_participant_real_2:2p2","mk:prolific_participant_real_2:2p8","S","U","liked",4,0
137,137,"mk:prolific_participant_real_2:2","p2p8","mk:prolific_participant_real_2:2p2","mk:prolific_participant_real_2:2p8","S","U","other_liked",4,0
138,138,"mk:prolific_participant_real_2:2","p2p8","mk:prolific_participant_real_2:2p2","mk:prolific_participant_real_2:2p8","S","U","conversation_quality",4,0
139,139,"mk:prolific_participant_real_2:2","p2p8","mk:prolific_participant_real_2:2p2","mk:prolific_participant_real_2:2p8","S","U","video_conf_quality",4,0
140,140,"mk:prolific_participant_real_2:2","p3p5","mk:prolific_participant_real_2:2p3","mk:prolific_participant_real_2:2p5","U","S","liked",6,0
141,141,"mk:prolific_participant_real_2:2","p3p5","mk:prolific_participant_real_2:2p3","mk:prolific_participant_real_2:2p5","U","S","other_liked",6,0
142,142,"mk:prolific_participant_real_2:2","p3p5","mk:prolific_participant_real_2:2p3","mk:prolific_participant_real_2:2p5","U","S","conversation_quality",7,0
143,143,"mk:prolific_participant_real_2:2","p3p5","mk:prolific_participant_real_2:2p3","mk:prolific_participant_real_2:2p5","U","S","video_conf_quality",7,0
144,144,"mk:prolific_participant_real_2:2","p3p5","mk:prolific_participant_real_2:2p5","mk:prolific_participant_real_2:2p3","S","U","liked",5,0
145,145,"mk:prolific_participant_real_2:2","p3p5","mk:prolific_participant_real_2:2p5","mk:prolific_participant_real_2:2p3","S","U","other_liked",5,0
146,146,"mk:prolific_participant_real_2:2","p3p5","mk:prolific_participant_real_2:2p5","mk:prolific_participant_real_2:2p3","S","U","conversation_quality",5,0
147,147,"mk:prolific_participant_real_2:2","p3p5","mk:prolific_participant_real_2:2p5","mk:prolific_participant_real_2:2p3","S","U","video_conf_quality",6,0
148,148,"mk:prolific_participant_real_2:2","p3p6","mk:prolific_participant_real_2:2p3","mk:prolific_participant_real_2:2p6","S","S","liked",5,1
149,149,"mk:prolific_participant_real_2:2","p3p6","mk:prolific_participant_real_2:2p3","mk:prolific_participant_real_2:2p6","S","S","other_liked",5,1
150,150,"mk:prolific_participant_real_2:2","p3p6","mk:prolific_participant_real_2:2p3","mk:prolific_participant_real_2:2p6","S","S","conversation_quality",3,1
151,151,"mk:prolific_participant_real_2:2","p3p6","mk:prolific_participant_real_2:2p3","mk:prolific_participant_real_2:2p6","S","S","video_conf_quality",3,1
152,152,"mk:prolific_participant_real_2:2","p3p6","mk:prolific_participant_real_2:2p6","mk:prolific_participant_real_2:2p3","S","S","liked",5,1
153,153,"mk:prolific_participant_real_2:2","p3p6","mk:prolific_participant_real_2:2p6","mk:prolific_participant_real_2:2p3","S","S","other_liked",5,1
154,154,"mk:prolific_participant_real_2:2","p3p6","mk:prolific_participant_real_2:2p6","mk:prolific_participant_real_2:2p3","S","S","conversation_quality",5,1
155,155,"mk:prolific_participant_real_2:2","p3p6","mk:prolific_participant_real_2:2p6","mk:prolific_participant_real_2:2p3","S","S","video_conf_quality",4,1
156,156,"mk:prolific_participant_real_2:2","p3p7","mk:prolific_participant_real_2:2p3","mk:prolific_participant_real_2:2p7","S","U","liked",6,0
157,157,"mk:prolific_participant_real_2:2","p3p7","mk:prolific_participant_real_2:2p3","mk:prolific_participant_real_2:2p7","S","U","other_liked",6,0
158,158,"mk:prolific_participant_real_2:2","p3p7","mk:prolific_participant_real_2:2p3","mk:prolific_participant_real_2:2p7","S","U","conversation_quality",6,0
159,159,"mk:prolific_participant_real_2:2","p3p7","mk:prolific_participant_real_2:2p3","mk:prolific_participant_real_2:2p7","S","U","video_conf_quality",7,0
160,160,"mk:prolific_participant_real_2:2","p3p7","mk:prolific_participant_real_2:2p7","mk:prolific_participant_real_2:2p3","U","S","liked",6,0
161,161,"mk:prolific_participant_real_2:2","p3p7","mk:prolific_participant_real_2:2p7","mk:prolific_participant_real_2:2p3","U","S","other_liked",6,0
162,162,"mk:prolific_participant_real_2:2","p3p7","mk:prolific_participant_real_2:2p7","mk:prolific_participant_real_2:2p3","U","S","conversation_quality",6,0
163,163,"mk:prolific_participant_real_2:2","p3p7","mk:prolific_participant_real_2:2p7","mk:prolific_participant_real_2:2p3","U","S","video_conf_quality",6,0
164,164,"mk:prolific_participant_real_2:2","p3p8","mk:prolific_participant_real_2:2p3","mk:prolific_participant_real_2:2p8","U","U","liked",6,1
165,165,"mk:prolific_participant_real_2:2","p3p8","mk:prolific_participant_real_2:2p3","mk:prolific_participant_real_2:2p8","U","U","other_liked",6,1
166,166,"mk:prolific_participant_real_2:2","p3p8","mk:prolific_participant_real_2:2p3","mk:prolific_participant_real_2:2p8","U","U","conversation_quality",6,1
167,167,"mk:prolific_participant_real_2:2","p3p8","mk:prolific_participant_real_2:2p3","mk:prolific_participant_real_2:2p8","U","U","video_conf_quality",7,1
168,168,"mk:prolific_participant_real_2:2","p3p8","mk:prolific_participant_real_2:2p8","mk:prolific_participant_real_2:2p3","U","U","liked",5,1
169,169,"mk:prolific_participant_real_2:2","p3p8","mk:prolific_participant_real_2:2p8","mk:prolific_participant_real_2:2p3","U","U","other_liked",5,1
170,170,"mk:prolific_participant_real_2:2","p3p8","mk:prolific_participant_real_2:2p8","mk:prolific_participant_real_2:2p3","U","U","conversation_quality",5,1
171,171,"mk:prolific_participant_real_2:2","p3p8","mk:prolific_participant_real_2:2p8","mk:prolific_participant_real_2:2p3","U","U","video_conf_quality",6,1
172,172,"mk:prolific_participant_real_2:2","p4p5","mk:prolific_participant_real_2:2p4","mk:prolific_participant_real_2:2p5","S","U","liked",4,0
173,173,"mk:prolific_participant_real_2:2","p4p5","mk:prolific_participant_real_2:2p4","mk:prolific_participant_real_2:2p5","S","U","other_liked",4,0
