"X","index","sid","dyad","user_id","other_id","participant_condition","other_condition","question_content","measure","condition"
135,135,"mk:prolific_participant_real_2:2","p2p7","mk:prolific_participant_real_2:2p7","mk:prolific_participant_real_2:2p2","U","U","video_conf_quality",6,"UU"
136,136,"mk:prolific_participant_real_2:2","p2p8","mk:prolific_participant_real_2:2p2","mk:prolific_participant_real_2:2p8","S","U","liked",4,"SU"
137,137,"mk:prolific_participant_real_2:2","p2p8","mk:prolific_participant_real_2:2p2","mk:prolific_participant_real_2:2p8","S","U","other_liked",4,"SU"
138,138,"mk:prolific_participant_real_2:2","p2p8","mk:prolific_participant_real_2:2p2","mk:prolific_participant_real_2:2p8","S","U","conversation_quality",4,"SU"
139,139,"mk:prolific_participant_real_2:2","p2p8","mk:prolific_participant_real_2:2p2","mk:prolific_participant_real_2:2p8","S","U","video_conf_quality",4,"SU"
140,140,"mk:prolific_participant_real_2:2","p3p5","mk:prolific_participant_real_2:2p3","mk:prolific_participant_real_2:2p5","U","S","liked",6,"US"
141,141,"mk:prolific_participant_real_2:2","p3p5","mk:prolific_participant_real_2:2p3","mk:prolific_participant_real_2:2p5","U","S","other_liked",6,"US"
142,142,"mk:prolific_participant_real_2:2","p3p5","mk:prolific_participant_real_2:2p3","mk:prolific_participant_real_2:2p5","U","S","conversation_quality",7,"US"
143,143,"mk:prolific_participant_real_2:2","p3p5","mk:prolific_participant_real_2:2p3","mk:prolific_participant_real_2:2p5","U","S","video_conf_quality",7,"US"
144,144,"mk:prolific_participant_real_2:2","p3p5","mk:prolific_participant_real_2:2p5","mk:prolific_participant_real_2:2p3","S","U","liked",5,"SU"
145,145,"mk:prolific_participant_real_2:2","p3p5","mk:prolific_participant_real_2:2p5","mk:prolific_participant_real_2:2p3","S","U","other_liked",5,"SU"
146,146,"mk:prolific_participant_real_2:2","p3p5","mk:prolific_participant_real_2:2p5","mk:prolific_participant_real_2:2p3","S","U","conversation_quality",5,"SU"
147,147,"mk:prolific_participant_real_2:2","p3p5","mk:prolific_participant_real_2:2p5","mk:prolific_participant_real_2:2p3","S","U","video_conf_quality",6,"SU"
148,148,"mk:prolific_participant_real_2:2","p3p6","mk:prolific_participant_real_2:2p3","mk:prolific_participant_real_2:2p6","S","S","liked",5,"SS"
149,149,"mk:prolific_participant_real_2:2","p3p6","mk:prolific_participant_real_2:2p3","mk:prolific_participant_real_2:2p6","S","S","other_liked",5,"SS"
150,150,"mk:prolific_participant_real_2:2","p3p6","mk:prolific_participant_real_2:2p3","mk:prolific_participant_real_2:2p6","S","S","conversation_quality",3,"SS"
151,151,"mk:prolific_participant_real_2:2","p3p6","mk:prolific_participant_real_2:2p3","mk:prolific_participant_real_2:2p6","S","S","video_conf_quality",3,"SS"
152,152,"mk:prolific_participant_real_2:2","p3p6","mk:prolific_participant_real_2:2p6","mk:prolific_participant_real_2:2p3","S","S","liked",5,"SS"
153,153,"mk:prolific_participant_real_2:2","p3p6","mk:prolific_participant_real_2:2p6","mk:prolific_participant_real_2:2p3","S","S","other_liked",5,"SS"
154,154,"mk:prolific_participant_real_2:2","p3p6","mk:prolific_participant_real_2:2p6","mk:prolific_participant_real_2:2p3","S","S","conversation_quality",5,"SS"
155,155,"mk:prolific_participant_real_2:2","p3p6","mk:prolific_participant_real_2:2p6","mk:prolific_participant_real_2:2p3","S","S","video_conf_quality",4,"SS"
156,156,"mk:prolific_participant_real_2:2","p3p7","mk:prolific_participant_real_2:2p3","mk:prolific_participant_real_2:2p7","S","U","liked",6,"SU"
157,157,"mk:prolific_participant_real_2:2","p3p7","mk:prolific_participant_real_2:2p3","mk:prolific_participant_real_2:2p7","S","U","other_liked",6,"SU"
158,158,"mk:prolific_participant_real_2:2","p3p7","mk:prolific_participant_real_2:2p3","mk:prolific_participant_real_2:2p7","S","U","conversation_quality",6,"SU"
159,159,"mk:prolific_participant_real_2:2","p3p7","mk:prolific_participant_real_2:2p3","mk:prolific_participant_real_2:2p7","S","U","video_conf_quality",7,"SU"
160,160,"mk:prolific_participant_real_2:2","p3p7","mk:prolific_participant_real_2:2p7","mk:prolific_participant_real_2:2p3","U","S","liked",6,"US"
161,161,"mk:prolific_participant_real_2:2","p3p7","mk:prolific_participant_real_2:2p7","mk:prolific_participant_real_2:2p3","U","S","other_liked",6,"US"
162,162,"mk:prolific_participant_real_2:2","p3p7","mk:prolific_participant_real_2:2p7","mk:prolific_participant_real_2:2p3","U","S","conversation_quality",6,"US"
163,163,"mk:prolific_participant_real_2:2","p3p7","mk:prolific_participant_real_2:2p7","mk:prolific_participant_real_2:2p3","U","S","video_conf_quality",6,"US"
164,164,"mk:prolific_participant_real_2:2","p3p8","mk:prolific_participant_real_2:2p3","mk:prolific_participant_real_2:2p8","U","U","liked",6,"UU"
165,165,"mk:prolific_participant_real_2:2","p3p8","mk:prolific_participant_real_2:2p3","mk:prolific_participant_real_2:2p8","U","U","other_liked",6,"UU"
