...1,index,sid,dyad,user_id,other_id,participant_condition,other_condition,question_content,measure,relationship,measure.p,measure.t
438,438,mk:real_meeting_experiment_prolific:2,p2p5,mk:real_meeting_experiment_prolific:2p2,mk:real_meeting_experiment_prolific:2p5,S,S,conversation_quality,7,0.188429332914808,0.545485602484808,0.366149054633246
436,436,mk:real_meeting_experiment_prolific:2,p2p5,mk:real_meeting_experiment_prolific:2p2,mk:real_meeting_experiment_prolific:2p5,S,S,liked,7,0.334487915039063,0.412145826551648,0.398733350965711
437,437,mk:real_meeting_experiment_prolific:2,p2p5,mk:real_meeting_experiment_prolific:2p2,mk:real_meeting_experiment_prolific:2p5,S,S,other_liked,7,0.276666913713727,0.603125678168403,0.667901780870226
439,439,mk:real_meeting_experiment_prolific:2,p2p5,mk:real_meeting_experiment_prolific:2p2,mk:real_meeting_experiment_prolific:2p5,S,S,video_conf_quality,7,0.481098720005581,0.376536899142796,0.421626620822482
470,470,mk:real_meeting_experiment_prolific:2,p3p5,mk:real_meeting_experiment_prolific:2p3,mk:real_meeting_experiment_prolific:2p5,U,S,conversation_quality,6,0.106398082914808,-0.372483147515192,0.116149054633246
468,468,mk:real_meeting_experiment_prolific:2,p3p5,mk:real_meeting_experiment_prolific:2p3,mk:real_meeting_experiment_prolific:2p5,U,S,liked,6,0.0716298421223955,-0.324996100531684,0.162567986382378
469,469,mk:real_meeting_experiment_prolific:2,p3p5,mk:real_meeting_experiment_prolific:2p3,mk:real_meeting_experiment_prolific:2p5,U,S,other_liked,6,0.24916040329706,-0.36936781141493,-0.304591708713108
471,471,mk:real_meeting_experiment_prolific:2,p3p5,mk:real_meeting_experiment_prolific:2p3,mk:real_meeting_experiment_prolific:2p5,U,S,video_conf_quality,6,0.218240647088915,-0.360605027940538,0.185461256239149
502,502,mk:real_meeting_experiment_prolific:2,p4p5,mk:real_meeting_experiment_prolific:2p4,mk:real_meeting_experiment_prolific:2p5,S,U,conversation_quality,5,-0.712775094168525,-0.553309970431859,0.102314419216579
500,500,mk:real_meeting_experiment_prolific:2,p4p5,mk:real_meeting_experiment_prolific:2p4,mk:real_meeting_experiment_prolific:2p5,S,U,liked,5,-0.719874064127604,-0.533492194281684,-0.212920294867622
501,501,mk:real_meeting_experiment_prolific:2,p4p5,mk:real_meeting_experiment_prolific:2p4,mk:real_meeting_experiment_prolific:2p5,S,U,other_liked,5,-1.13983699253627,0.0196295844184036,0.0844056871202259
503,503,mk:real_meeting_experiment_prolific:2,p4p5,mk:real_meeting_experiment_prolific:2p4,mk:real_meeting_experiment_prolific:2p5,S,U,video_conf_quality,4,-1.58709789457775,-0.555266486273872,-0.00920020209418482
414,414,mk:real_meeting_experiment_prolific:2,p1p5,mk:real_meeting_experiment_prolific:2p5,mk:real_meeting_experiment_prolific:2p1,U,U,conversation_quality,6,0.262507362971232,-0.0340923733181429,-0.0213411119249134
412,412,mk:real_meeting_experiment_prolific:2,p1p5,mk:real_meeting_experiment_prolific:2p5,mk:real_meeting_experiment_prolific:2p1,U,U,liked,6,0.0336337619357652,0.0117433336046,0.0254813300238714
413,413,mk:real_meeting_experiment_prolific:2,p1p5,mk:real_meeting_experiment_prolific:2p5,mk:real_meeting_experiment_prolific:2p1,U,U,other_liked,5,-0.0114694625612293,-0.0798738267686625,0.189008924696181
415,415,mk:real_meeting_experiment_prolific:2,p1p5,mk:real_meeting_experiment_prolific:2p5,mk:real_meeting_experiment_prolific:2p1,U,U,video_conf_quality,6,-0.145011780753966,-0.342601352267796,-0.22061750623915
450,450,mk:real_meeting_experiment_prolific:2,p2p6,mk:real_meeting_experiment_prolific:2p6,mk:real_meeting_experiment_prolific:2p2,S,U,conversation_quality,7,0.0507018074156766,0.29572296142578,-0.895047505696615
448,448,mk:real_meeting_experiment_prolific:2,p2p6,mk:real_meeting_experiment_prolific:2p6,mk:real_meeting_experiment_prolific:2p2,S,U,liked,7,0.0167609320746545,0.356620788574218,-0.847201029459637
