...1,index,sid,dyad,user_id,other_id,participant_condition,other_condition,question_content,measure,relationship
416,416,mk:real_meeting_experiment_prolific:2,p1p6,mk:real_meeting_experiment_prolific:2p1,mk:real_meeting_experiment_prolific:2p6,S,U,liked,6,0.258509318033856
420,420,mk:real_meeting_experiment_prolific:2,p1p7,mk:real_meeting_experiment_prolific:2p1,mk:real_meeting_experiment_prolific:2p7,S,S,liked,7,0.0795118543836821
424,424,mk:real_meeting_experiment_prolific:2,p1p7,mk:real_meeting_experiment_prolific:2p7,mk:real_meeting_experiment_prolific:2p1,S,S,liked,4,-1.2707282172309
428,428,mk:real_meeting_experiment_prolific:2,p1p8,mk:real_meeting_experiment_prolific:2p1,mk:real_meeting_experiment_prolific:2p8,U,S,liked,7,-0.00349595811631787
432,432,mk:real_meeting_experiment_prolific:2,p1p8,mk:real_meeting_experiment_prolific:2p8,mk:real_meeting_experiment_prolific:2p1,S,U,liked,7,0.644310845269098
436,436,mk:real_meeting_experiment_prolific:2,p2p5,mk:real_meeting_experiment_prolific:2p2,mk:real_meeting_experiment_prolific:2p5,S,S,liked,7,0.334487915039063
440,440,mk:real_meeting_experiment_prolific:2,p2p5,mk:real_meeting_experiment_prolific:2p5,mk:real_meeting_experiment_prolific:2p2,S,S,liked,7,0.361638387044272
444,444,mk:real_meeting_experiment_prolific:2,p2p6,mk:real_meeting_experiment_prolific:2p2,mk:real_meeting_experiment_prolific:2p6,U,S,liked,6,0.207170274522571
448,448,mk:real_meeting_experiment_prolific:2,p2p6,mk:real_meeting_experiment_prolific:2p6,mk:real_meeting_experiment_prolific:2p2,S,U,liked,7,0.0167609320746545
452,452,mk:real_meeting_experiment_prolific:2,p2p7,mk:real_meeting_experiment_prolific:2p2,mk:real_meeting_experiment_prolific:2p7,U,U,liked,7,0.0281728108723973
456,456,mk:real_meeting_experiment_prolific:2,p2p7,mk:real_meeting_experiment_prolific:2p7,mk:real_meeting_experiment_prolific:2p2,U,U,liked,6,0.0572764078776062
460,460,mk:real_meeting_experiment_prolific:2,p2p8,mk:real_meeting_experiment_prolific:2p2,mk:real_meeting_experiment_prolific:2p8,S,U,liked,7,-0.0548350016276027
464,464,mk:real_meeting_experiment_prolific:2,p2p8,mk:real_meeting_experiment_prolific:2p8,mk:real_meeting_experiment_prolific:2p2,U,S,liked,7,-0.0276845296223946
468,468,mk:real_meeting_experiment_prolific:2,p3p5,mk:real_meeting_experiment_prolific:2p3,mk:real_meeting_experiment_prolific:2p5,U,S,liked,6,0.0716298421223955
