,sid,user_id,other_id,participant_condition,other_condition,question_content,Unnamed: 0,measure
114,mk:prolific_participant_real_2:2,mk:prolific_participant_real_2:2p3,mk:prolific_participant_real_2:2p7,S,U,other_liked,75.0,0.244266358632891
115,mk:prolific_participant_real_2:2,mk:prolific_participant_real_2:2p3,mk:prolific_participant_real_2:2p7,S,U,video_conf_quality,75.0,0.508486868843198
116,mk:prolific_participant_real_2:2,mk:prolific_participant_real_2:2p3,mk:prolific_participant_real_2:2p8,U,U,conversation_quality,77.0,0.848017276279512
117,mk:prolific_participant_real_2:2,mk:prolific_participant_real_2:2p3,mk:prolific_participant_real_2:2p8,U,U,liked,77.0,0.576550408015177
118,mk:prolific_participant_real_2:2,mk:prolific_participant_real_2:2p3,mk:prolific_participant_real_2:2p8,U,U,other_liked,77.0,0.627854831635006
119,mk:prolific_participant_real_2:2,mk:prolific_participant_real_2:2p3,mk:prolific_participant_real_2:2p8,U,U,video_conf_quality,77.0,1.22282278726971
120,mk:prolific_participant_real_2:2,mk:prolific_participant_real_2:2p4,mk:prolific_participant_real_2:2p5,S,U,conversation_quality,79.0,-0.961833575415232
121,mk:prolific_participant_real_2:2,mk:prolific_participant_real_2:2p4,mk:prolific_participant_real_2:2p5,S,U,liked,79.0,-1.25909272451249
122,mk:prolific_participant_real_2:2,mk:prolific_participant_real_2:2p4,mk:prolific_participant_real_2:2p5,S,U,other_liked,79.0,-0.991614175221276
123,mk:prolific_participant_real_2:2,mk:prolific_participant_real_2:2p4,mk:prolific_participant_real_2:2p5,S,U,video_conf_quality,79.0,-0.435523547823468
124,mk:prolific_participant_real_2:2,mk:prolific_participant_real_2:2p4,mk:prolific_participant_real_2:2p6,U,U,conversation_quality,81.0,0.219033937605601
125,mk:prolific_participant_real_2:2,mk:prolific_participant_real_2:2p4,mk:prolific_participant_real_2:2p6,U,U,liked,81.0,0.574403369237507
126,mk:prolific_participant_real_2:2,mk:prolific_participant_real_2:2p4,mk:prolific_participant_real_2:2p6,U,U,other_liked,81.0,0.647383220612059
127,mk:prolific_participant_real_2:2,mk:prolific_participant_real_2:2p4,mk:prolific_participant_real_2:2p6,U,U,video_conf_quality,81.0,-0.712785917615135
128,mk:prolific_participant_real_2:2,mk:prolific_participant_real_2:2p4,mk:prolific_participant_real_2:2p7,U,S,conversation_quality,83.0,-0.989584226456899
129,mk:prolific_participant_real_2:2,mk:prolific_participant_real_2:2p4,mk:prolific_participant_real_2:2p7,U,S,liked,83.0,-1.27296805003333
130,mk:prolific_participant_real_2:2,mk:prolific_participant_real_2:2p4,mk:prolific_participant_real_2:2p7,U,S,other_liked,83.0,-0.852616779387942
131,mk:prolific_participant_real_2:2,mk:prolific_participant_real_2:2p4,mk:prolific_participant_real_2:2p7,U,S,video_conf_quality,83.0,-0.602271594698468
132,mk:prolific_participant_real_2:2,mk:prolific_participant_real_2:2p4,mk:prolific_participant_real_2:2p8,S,S,conversation_quality,85.0,0.751134138258679
133,mk:prolific_participant_real_2:2,mk:prolific_participant_real_2:2p4,mk:prolific_participant_real_2:2p8,S,S,liked,85.0,1.28516857207768
134,mk:prolific_participant_real_2:2,mk:prolific_participant_real_2:2p4,mk:prolific_participant_real_2:2p8,S,S,other_liked,85.0,0.530971693614173
135,mk:prolific_participant_real_2:2,mk:prolific_participant_real_2:2p4,mk:prolific_participant_real_2:2p8,S,S,video_conf_quality,85.0,1.11206432372805
136,mk:prolific_participant_real_2:2,mk:prolific_participant_real_2:2p5,mk:prolific_participant_real_2:2p1,U,U,conversation_quality,50.0,1.84050958118742
137,mk:prolific_participant_real_2:2,mk:prolific_participant_real_2:2p5,mk:prolific_participant_real_2:2p1,U,U,liked,50.0,1.68655470060924
138,mk:prolific_participant_real_2:2,mk:prolific_participant_real_2:2p5,mk:prolific_participant_real_2:2p1,U,U,other_liked,50.0,1.18560375864544
139,mk:prolific_participant_real_2:2,mk:prolific_participant_real_2:2p5,mk:prolific_participant_real_2:2p1,U,U,video_conf_quality,50.0,0.686640754578606
140,mk:prolific_participant_real_2:2,mk:prolific_participant_real_2:2p5,mk:prolific_participant_real_2:2p2,S,S,conversation_quality,62.0,0.234505978841632
141,mk:prolific_participant_real_2:2,mk:prolific_participant_real_2:2p5,mk:prolific_participant_real_2:2p2,S,S,liked,62.0,0.10830174930512
142,mk:prolific_participant_real_2:2,mk:prolific_participant_real_2:2p5,mk:prolific_participant_real_2:2p2,S,S,other_liked,62.0,0.593475481820486
143,mk:prolific_participant_real_2:2,mk:prolific_participant_real_2:2p5,mk:prolific_participant_real_2:2p2,S,S,video_conf_quality,62.0,-0.115983153146412
144,mk:prolific_participant_real_2:2,mk:prolific_participant_real_2:2p5,mk:prolific_participant_real_2:2p3,S,U,conversation_quality,72.0,-0.494793195573108
145,mk:prolific_participant_real_2:2,mk:prolific_participant_real_2:2p5,mk:prolific_participant_real_2:2p3,S,U,liked,72.0,-0.63670960683671
146,mk:prolific_participant_real_2:2,mk:prolific_participant_real_2:2p5,mk:prolific_participant_real_2:2p3,S,U,other_liked,72.0,-0.384931079925052
147,mk:prolific_participant_real_2:2,mk:prolific_participant_real_2:2p5,mk:prolific_participant_real_2:2p3,S,U,video_conf_quality,72.0,-0.0184506158980113
148,mk:prolific_participant_real_2:2,mk:prolific_participant_real_2:2p5,mk:prolific_participant_real_2:2p4,U,S,conversation_quality,80.0,-1.42541656796894
