"dyad_std","question_content","participant_condition","other_condition","rel1","rel2"
"mk:real_meeting_experiment_prolific:2p1_mk:real_meeting_experiment_prolific:2p5","liked","U","U",7,6
"mk:real_meeting_experiment_prolific:2p1_mk:real_meeting_experiment_prolific:2p5","other_liked","U","U",7,5
"mk:real_meeting_experiment_prolific:2p1_mk:real_meeting_experiment_prolific:2p5","other_liked","U","U",7,5
"mk:real_meeting_experiment_prolific:2p1_mk:real_meeting_experiment_prolific:2p5","video_conf_quality","U","U",7,6
"mk:real_meeting_experiment_prolific:2p1_mk:real_meeting_experiment_prolific:2p5","video_conf_quality","U","U",7,6
"mk:real_meeting_experiment_prolific:2p1_mk:real_meeting_experiment_prolific:2p7","conversation_quality","S","S",7,4
"mk:real_meeting_experiment_prolific:2p1_mk:real_meeting_experiment_prolific:2p7","conversation_quality","S","S",7,4
"mk:real_meeting_experiment_prolific:2p1_mk:real_meeting_experiment_prolific:2p7","liked","S","S",7,4
"mk:real_meeting_experiment_prolific:2p1_mk:real_meeting_experiment_prolific:2p7","liked","S","S",7,4
"mk:real_meeting_experiment_prolific:2p1_mk:real_meeting_experiment_prolific:2p7","other_liked","S","S",6,3
"mk:real_meeting_experiment_prolific:2p1_mk:real_meeting_experiment_prolific:2p7","other_liked","S","S",6,3
"mk:real_meeting_experiment_prolific:2p1_mk:real_meeting_experiment_prolific:2p7","video_conf_quality","S","S",7,7
"mk:real_meeting_experiment_prolific:2p1_mk:real_meeting_experiment_prolific:2p7","video_conf_quality","S","S",7,7
"mk:real_meeting_experiment_prolific:2p2_mk:real_meeting_experiment_prolific:2p5","conversation_quality","S","S",7,7
"mk:real_meeting_experiment_prolific:2p2_mk:real_meeting_experiment_prolific:2p5","conversation_quality","S","S",7,7
"mk:real_meeting_experiment_prolific:2p2_mk:real_meeting_experiment_prolific:2p5","liked","S","S",7,7
"mk:real_meeting_experiment_prolific:2p2_mk:real_meeting_experiment_prolific:2p5","liked","S","S",7,7
"mk:real_meeting_experiment_prolific:2p2_mk:real_meeting_experiment_prolific:2p5","other_liked","S","S",7,7
"mk:real_meeting_experiment_prolific:2p2_mk:real_meeting_experiment_prolific:2p5","other_liked","S","S",7,7
"mk:real_meeting_experiment_prolific:2p2_mk:real_meeting_experiment_prolific:2p5","video_conf_quality","S","S",7,7
"mk:real_meeting_experiment_prolific:2p2_mk:real_meeting_experiment_prolific:2p5","video_conf_quality","S","S",7,7
"mk:real_meeting_experiment_prolific:2p2_mk:real_meeting_experiment_prolific:2p7","conversation_quality","U","U",7,6
"mk:real_meeting_experiment_prolific:2p2_mk:real_meeting_experiment_prolific:2p7","conversation_quality","U","U",7,6
"mk:real_meeting_experiment_prolific:2p2_mk:real_meeting_experiment_prolific:2p7","liked","U","U",7,6
"mk:real_meeting_experiment_prolific:2p2_mk:real_meeting_experiment_prolific:2p7","liked","U","U",7,6
"mk:real_meeting_experiment_prolific:2p2_mk:real_meeting_experiment_prolific:2p7","other_liked","U","U",7,7
"mk:real_meeting_experiment_prolific:2p2_mk:real_meeting_experiment_prolific:2p7","other_liked","U","U",7,7
"mk:real_meeting_experiment_prolific:2p2_mk:real_meeting_experiment_prolific:2p7","video_conf_quality","U","U",7,7
"mk:real_meeting_experiment_prolific:2p2_mk:real_meeting_experiment_prolific:2p7","video_conf_quality","U","U",7,7
"mk:real_meeting_experiment_prolific:2p3_mk:real_meeting_experiment_prolific:2p6","conversation_quality","S","S",4,7
"mk:real_meeting_experiment_prolific:2p3_mk:real_meeting_experiment_prolific:2p6","conversation_quality","S","S",4,7
"mk:real_meeting_experiment_prolific:2p3_mk:real_meeting_experiment_prolific:2p6","liked","S","S",5,7
